,level_0_x,index_x,job,sex_x,year_x,count_x,perc_x,together_x,level_0_y,index_y,sex_y,year_y,count_y,perc_y,together_y
140,1876,3751,Manager / Owner,men,1860,365479,0.043331775433893,0.045903139440061004,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
141,1885,3760,Manager / Owner,men,1960,4254695,0.048956589525341,0.058885801161657,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
142,1881,3756,Manager / Owner,men,1920,2171254,0.051710728254092,0.055304143902576,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
143,1887,3762,Manager / Owner,men,1980,6783518,0.052788857472548,0.073672014932463,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
144,1880,3755,Manager / Owner,men,1910,2160453,0.055497403959659006,0.05852538558626601,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
145,1883,3758,Manager / Owner,men,1940,2930996,0.056331425423212005,0.06301830723854701,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
146,1882,3757,Manager / Owner,men,1930,2864304,0.05877885604189,0.063291460305826,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
147,1888,3763,Manager / Owner,men,1990,8899765,0.059679626877948005,0.09292455133867801,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
148,1884,3759,Manager / Owner,men,1950,3890801,0.064055684243291,0.073299354370957,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
149,1889,3764,Manager / Owner,men,2000,11270779,0.067039146186587,0.10959289274282201,1889,3764,men,2000,11270779,0.067039146186587,0.10959289274282201
